"","balanced","dist","model","sampleSize","est","y2l1mn","y2l1se","y3l1mn","y3l1se","y4l1mn","y4l1se","y5l1mn","y5l1se","y6l1mn","y6l1se","y7l1mn","y7l1se","y8l1mn","y8l1se","y9l1mn","y9l1se","n"
"5","bal","normal","misSpec","6000","Gold",0.921455336020497,0.179693408657639,0.914264477933537,0.17727194132954,0.920309719256681,0.174543900131621,0.921735404680064,0.183302250265158,0.910572846257152,0.174949202621126,0.915338752235599,0.186849203359554,0.907295512002463,0.182458174697531,0.913334438049345,0.1800544570739,540
"7","bal","normal","trueModel","6000","Gold",0.915036884083262,0.169513596858172,0.911143636426607,0.175282000973675,0.910841802679439,0.171266092040846,0.905773346100089,0.178421234240592,0.908140389924017,0.176509521159519,0.913688158527627,0.174294592074545,0.91637526692441,0.185622448727243,0.905736355155794,0.176714752201765,618
"13","bal","normal","misSpec","6000","Muth",0.912814517860692,0.174556681319565,0.909905582683515,0.173017838059578,0.909465092032288,0.173362794166218,0.917566694264311,0.177986049600862,0.90631255742483,0.173891182178959,0.913527099081644,0.180074184096497,0.904079360127692,0.17663573624363,0.911820081629751,0.18035188155374,1200
"15","bal","normal","trueModel","6000","Muth",0.911728862298537,0.170707098967668,0.908388443161951,0.176814163434232,0.910698781918152,0.169676697496417,0.902763489803004,0.17576625037963,0.905826613494754,0.171709392055238,0.910834920913211,0.17590140924908,0.912463483973249,0.180178683256709,0.902515095305272,0.173152043734942,1200
