"","balanced","dist","model","sampleSize","est","y2l1mn","y2l1se","y3l1mn","y3l1se","y5l2mn","y5l2se","y6l2mn","y6l2se","y8l3mn","y8l3se","y9l3mn","y9l3se","y5l1mn","y5l1se","y8l2mn","y8l2se","y6l3mn","y6l3se","n"
"5","bal","normal","misSpec","6000","Gold",0.999359434745601,0.0250720644338065,0.999014944511318,0.0260664814356147,0.997978605099279,0.0276882345888009,1.01668406604809,0.0258152689819823,1.01542690806733,0.0285643807307535,0.997269142588279,0.0270419946802337,NA,NA,NA,NA,NA,NA,540
"7","bal","normal","trueModel","6000","Gold",0.999427859987308,0.0263186012134432,0.998395428323855,0.0254579971154446,0.99838251524915,0.0272453695477125,0.998931360415125,0.0269849614259099,1.00052855379042,0.0260992234382442,0.998876805161199,0.0249277346493019,0.301024418360953,0.0235387220569356,0.299771011856019,0.0231700363495064,0.299944576226847,0.0230978562451946,618
"13","bal","normal","misSpec","6000","Muth",0.998818120058665,0.0269299398134943,0.998642867740483,0.026226408661031,0.997870798686164,0.0282161635197463,1.02052480039026,0.0272024576079083,1.02036560316244,0.0286608872135401,0.998400706520643,0.0261972133911387,NA,NA,NA,NA,NA,NA,1200
"15","bal","normal","trueModel","6000","Muth",0.999092966912929,0.0261920479049817,0.999604730924158,0.0255226365611041,0.998803486706211,0.0268968783378503,0.999257817383939,0.0264714358670701,0.999549956464899,0.0264614365576986,0.998589626924485,0.0249211633865546,0.300722377719534,0.0231704824146908,0.299299106592782,0.0233258017481909,0.298852594806637,0.0233154205543138,1200
